edge_id,source,target,length,source_x,source_y,target_x,target_y
793,339,338,433.684,480956.1038030128,3157455.81344003,480949.99689362233,3157887.850132255
794,340,381,483.823,480946.2548797547,3158625.1062642317,480529.629345706,3158783.8363107974
795,340,102,461.373,480946.2548797547,3158625.1062642317,480941.1918639039,3159084.7384438263
796,340,338,740.102,480946.2548797547,3158625.1062642317,480949.99689362233,3157887.850132255
797,341,578,54.47,480901.3130059501,3157889.0039222646,480846.81059010315,3157891.286340334
798,341,338,53.467,480901.3130059501,3157889.0039222646,480949.99689362233,3157887.850132255
799,342,191,322.93,476086.2580948797,3158091.8845711565,476409.6649143475,3158093.6114255637
800,342,343,138.073,476086.2580948797,3158091.8845711565,476085.0209092294,3157955.2891410855
801,342,183,49.806,476086.2580948797,3158091.8845711565,476083.0136312639,3158141.401027733
802,343,629,51.905,476085.0209092294,3157955.2891410855,476054.0156655944,3157918.9816822647
803,343,628,44.578,476085.0209092294,3157955.2891410855,476086.91620581585,3157910.9158737236
804,344,345,13.554,478026.7253608,3158290.104439462,478013.7031015159,3158293.9176927647
805,344,346,60.271,478026.7253608,3158290.104439462,478086.1655432212,3158282.703560809
806,344,347,211.562,478026.7253608,3158290.104439462,478099.51843630656,3158487.3205364645
807,345,344,13.554,478013.7031015159,3158293.9176927647,478026.7253608,3158290.104439462
808,345,433,231.175,478013.7031015159,3158293.9176927647,478050.85473218956,3158069.309252058
809,345,48,70.417,478013.7031015159,3158293.9176927647,477945.4486435735,3158311.217529862
810,346,592,21.249,478086.1655432212,3158282.703560809,478096.12764292257,3158263.995533278
811,346,431,350.314,478086.1655432212,3158282.703560809,478240.28522432817,3158138.7285528616
812,346,344,60.271,478086.1655432212,3158282.703560809,478026.7253608,3158290.104439462
813,347,375,14.322,478099.51843630656,3158487.3205364645,478086.11727092095,3158492.4084465518
814,347,357,151.083,478099.51843630656,3158487.3205364645,478123.162805751,3158635.2186248736
815,348,254,113.71,476959.40337852144,3158461.532227058,476958.9119381432,3158574.8219741234
816,349,140,367.328,476424.68650495156,3159444.1293852353,476059.15077490266,3159422.890506596
817,350,351,205.456,479485.7665754125,3160253.329160526,479492.0103114457,3160048.8311198973
818,350,352,682.674,479485.7665754125,3160253.329160526,479582.7049258156,3160846.5693640034
819,350,353,187.511,479485.7665754125,3160253.329160526,479673.48919815564,3160248.6703192377
820,351,350,205.456,479492.0103114457,3160048.8311198973,479485.7665754125,3160253.329160526
821,351,669,209.362,479492.0103114457,3160048.8311198973,479284.1378757483,3160076.117525903
822,352,409,40.875,479582.7049258156,3160846.5693640034,479582.73678344,3160887.293942434
823,352,410,88.737,479582.7049258156,3160846.5693640034,479671.5735090569,3160846.8690378508
824,352,350,682.674,479582.7049258156,3160846.5693640034,479485.7665754125,3160253.329160526
825,353,350,187.511,479673.48919815564,3160248.6703192377,479485.7665754125,3160253.329160526
826,353,499,225.179,479673.48919815564,3160248.6703192377,479678.43043863203,3160024.377374172
827,354,355,62.706,478285.88347226393,3158558.4745263117,478342.85883445357,3158583.5838020863
828,354,356,164.86,478285.88347226393,3158558.4745263117,478341.2624128763,3158413.0333549906
829,354,357,198.632,478285.88347226393,3158558.4745263117,478123.162805751,3158635.2186248736
830,355,354,62.706,478342.85883445357,3158583.5838020863,478285.88347226393,3158558.4745263117
831,356,354,164.86,478341.2624128763,3158413.0333549906,478285.88347226393,3158558.4745263117
832,357,354,198.632,478123.162805751,3158635.2186248736,478285.88347226393,3158558.4745263117
833,357,367,187.751,478123.162805751,3158635.2186248736,478120.76324006304,3158822.2613815353
834,358,210,62.026,476625.1223549385,3158613.1385092814,476605.7350264232,3158671.848958121
835,359,360,140.082,476202.60368496197,3159512.6003118637,476342.77469432284,3159518.3765084776
836,359,361,117.868,476202.60368496197,3159512.6003118637,476129.0480073377,3159577.969167717
837,359,123,143.984,476202.60368496197,3159512.6003118637,476058.48361385224,3159508.0746510364
838,360,359,140.082,476342.77469432284,3159518.3765084776,476202.60368496197,3159512.6003118637
839,360,360,526.136,476342.77469432284,3159518.3765084776,476342.77469432284,3159518.3765084776
840,360,360,526.136,476342.77469432284,3159518.3765084776,476342.77469432284,3159518.3765084776
841,361,359,117.868,476129.0480073377,3159577.969167717,476202.60368496197,3159512.6003118637
842,362,363,51.506,475138.1321173556,3159322.0101790214,475142.53440496,3159373.13934418
843,362,223,10.518,475138.1321173556,3159322.0101790214,475127.61624585604,3159321.4010116206
844,362,303,40.89,475138.1321173556,3159322.0101790214,475171.4290909784,3159304.690331002
845,363,227,13.073,475142.53440496,3159373.13934418,475129.4586588851,3159373.79855708
846,363,364,106.621,475142.53440496,3159373.13934418,475249.3114558036,3159372.337308536
847,364,467,12.862,475249.3114558036,3159372.337308536,475262.19282983325,3159372.2658017585
848,364,363,106.621,475249.3114558036,3159372.337308536,475142.53440496,3159373.13934418
849,364,637,185.788,475249.3114558036,3159372.337308536,475254.0362596367,3159187.2937320396
850,365,366,136.166,478549.1452793863,3159499.019800095,478556.69468924834,3159364.6015648576
851,365,263,95.873,478549.1452793863,3159499.019800095,478631.8887299751,3159454.8205254264
852,365,330,57.643,478549.1452793863,3159499.019800095,478491.4184297515,3159498.79323445
853,366,365,136.166,478556.69468924834,3159364.6015648576,478549.1452793863,3159499.019800095
854,367,175,47.851,478120.76324006304,3158822.2613815353,478168.6832349071,3158822.770290096
855,367,368,652.519,478120.76324006304,3158822.2613815353,478111.76522377937,3159472.2872476694
856,368,418,14.696,478111.76522377937,3159472.2872476694,478097.0822708286,3159471.2732963003
857,368,419,357.308,478111.76522377937,3159472.2872476694,478110.6206354293,3159828.2751959153
858,368,106,119.272,478111.76522377937,3159472.2872476694,478229.4835525947,3159491.2005924536
859,369,445,66.966,478379.67443493014,3158778.59707931,478437.7433065673,3158808.6236492367
860,369,175,249.255,478379.67443493014,3158778.59707931,478168.6832349071,3158822.770290096
861,369,446,180.71,478379.67443493014,3158778.59707931,478280.0651210488,3158675.5628378317
862,370,370,722.188,475986.4348224205,3159043.4226003024,475986.4348224205,3159043.4226003024
863,370,370,722.188,475986.4348224205,3159043.4226003024,475986.4348224205,3159043.4226003024
864,370,371,74.686,475986.4348224205,3159043.4226003024,476060.5254421273,3159051.934467962
865,371,370,74.686,476060.5254421273,3159051.934467962,475986.4348224205,3159043.4226003024
866,371,235,64.065,476060.5254421273,3159051.934467962,476124.6593040479,3159051.1500428016
867,371,92,204.924,476060.5254421273,3159051.934467962,476061.00841224374,3158847.767477875
868,371,406,174.377,476060.5254421273,3159051.934467962,476059.5597687936,3159225.658720937
869,372,262,145.851,478487.92520619667,3159833.702968311,478489.09624590166,3159688.395078282
870,372,373,327.538,478487.92520619667,3159833.702968311,478488.91507814685,3160159.830438794
871,372,167,254.255,478487.92520619667,3159833.702968311,478742.50346885395,3159828.5522254175
872,373,536,20.596,478488.91507814685,3160159.830438794,478492.34597188566,3160180.0645903614
873,373,537,269.734,478488.91507814685,3160159.830438794,478756.71323998616,3160124.5442847176
874,373,372,327.538,478488.91507814685,3160159.830438794,478487.92520619667,3159833.702968311
875,374,279,66.255,478043.91558822297,3158579.3095642417,478033.5521082543,3158514.1098703267
876,375,347,14.322,478086.11727092095,3158492.4084465518,478099.51843630656,3158487.3205364645
877,375,279,56.841,478086.11727092095,3158492.4084465518,478033.5521082543,3158514.1098703267
878,375,345,212.716,478086.11727092095,3158492.4084465518,478013.7031015159,3158293.9176927647
879,376,106,125.685,478288.35092039977,3159383.7185104853,478229.4835525947,3159491.2005924536
880,377,106,262.688,478158.10052557377,3159741.785286594,478229.4835525947,3159491.2005924536
881,378,379,18.998,479735.4028428567,3158990.100990353,479754.4277965473,3158990.356160201
882,378,380,253.433,479735.4028428567,3158990.100990353,479763.2983409135,3158740.421241373
883,379,518,13.822,479754.4277965473,3158990.356160201,479754.3831094184,3159004.126800029
884,379,21,123.111,479754.4277965473,3158990.356160201,479877.6771015853,3158993.666920145
885,380,604,12.205,479763.2983409135,3158740.421241373,479767.2203892427,3158728.9039257444
886,381,382,188.657,480529.629345706,3158783.8363107974,480407.58566580573,3158923.6728246855
887,381,340,483.823,480529.629345706,3158783.8363107974,480946.2548797547,3158625.1062642317
888,382,148,13.436,480407.58566580573,3158923.6728246855,480399.0586294117,3158913.3176172525
889,382,147,175.203,480407.58566580573,3158923.6728246855,480249.9775837281,3158997.8861718425
890,382,390,47.844,480407.58566580573,3158923.6728246855,480441.47272989084,3158955.788158789
891,383,384,147.614,480647.0915539615,3159078.462403297,480794.8991935788,3159081.23267061
892,383,384,299.368,480647.0915539615,3159078.462403297,480794.8991935788,3159081.23267061
893,383,385,61.786,480647.0915539615,3159078.462403297,480587.29028800735,3159084.820624367
894,384,383,147.614,480794.8991935788,3159081.23267061,480647.0915539615,3159078.462403297
895,384,383,299.368,480794.8991935788,3159081.23267061,480647.0915539615,3159078.462403297
896,384,102,146.283,480794.8991935788,3159081.23267061,480941.1918639039,3159084.7384438263
897,385,383,61.786,480587.29028800735,3159084.820624367,480647.0915539615,3159078.462403297
898,386,387,225.13,476379.37209988246,3158041.2267728765,476253.03709766635,3157959.2572671724
899,386,387,194.942,476379.37209988246,3158041.2267728765,476253.03709766635,3157959.2572671724
900,386,388,26.96,476379.37209988246,3158041.2267728765,476404.33441930095,3158050.2055005375
901,387,389,141.557,476253.03709766635,3157959.2572671724,476170.0597525872,3158038.481773667
902,387,386,225.13,476253.03709766635,3157959.2572671724,476379.37209988246,3158041.2267728765
903,387,386,194.942,476253.03709766635,3157959.2572671724,476379.37209988246,3158041.2267728765
904,388,386,26.96,476404.33441930095,3158050.2055005375,476379.37209988246,3158041.2267728765
905,388,191,44.475,476404.33441930095,3158050.2055005375,476409.6649143475,3158093.6114255637
906,388,462,64.912,476404.33441930095,3158050.2055005375,476466.34137809963,3158034.8479663543
907,389,387,141.557,476170.0597525872,3158038.481773667,476253.03709766635,3157959.2572671724
908,390,31,4.393,480441.47272989084,3158955.788158789,480445.59319908667,3158957.321194478
909,390,382,51.176,480441.47272989084,3158955.788158789,480407.58566580573,3158923.6728246855
910,391,392,55.486,480485.7642667722,3159003.9833051558,480525.72203758755,3159040.1988970535
911,391,31,61.664,480485.7642667722,3159003.9833051558,480445.59319908667,3158957.321194478
912,391,30,280.922,480485.7642667722,3159003.9833051558,480710.7191289506,3158942.42454602
913,392,391,55.486,480525.72203758755,3159040.1988970535,480485.7642667722,3159003.9833051558
914,393,394,274.663,477344.02128712524,3158254.65622117,477344.833675886,3158528.3046546374
915,393,395,94.723,477344.02128712524,3158254.65622117,477249.15668212675,3158254.6626312686
916,393,396,96.802,477344.02128712524,3158254.65622117,477440.7510629581,3158258.092402461
917,394,393,274.663,477344.833675886,3158528.3046546374,477344.02128712524,3158254.65622117
918,394,271,97.154,477344.833675886,3158528.3046546374,477442.13035970455,3158527.6074535595
919,394,397,93.973,477344.833675886,3158528.3046546374,477250.7231575425,3158527.63382523
920,395,397,273.987,477249.15668212675,3158254.6626312686,477250.7231575425,3158527.63382523
921,395,393,94.723,477249.15668212675,3158254.6626312686,477344.02128712524,3158254.65622117
922,395,425,100.164,477249.15668212675,3158254.6626312686,477148.84427749657,3158255.034935518
923,396,444,93.367,477440.7510629581,3158258.092402461,477433.6300233662,3158349.6698814784
924,396,444,485.926,477440.7510629581,3158258.092402461,477433.6300233662,3158349.6698814784
925,396,457,39.459,477440.7510629581,3158258.092402461,477446.09647526493,3158219.7505243556
926,396,393,96.802,477440.7510629581,3158258.092402461,477344.02128712524,3158254.65622117
927,397,395,273.987,477250.7231575425,3158527.63382523,477249.15668212675,3158254.6626312686
928,397,394,93.973,477250.7231575425,3158527.63382523,477344.833675886,3158528.3046546374
929,397,399,114.323,477250.7231575425,3158527.63382523,477149.6436974978,3158574.902933682
930,398,159,113.452,477058.4137347558,3158461.504267997,477058.4979519789,3158574.538070744
931,399,425,321.054,477149.6436974978,3158574.902933682,477148.84427749657,3158255.034935518
932,399,159,91.011,477149.6436974978,3158574.902933682,477058.4979519789,3158574.538070744
933,399,397,114.323,477149.6436974978,3158574.902933682,477250.7231575425,3158527.63382523
934,400,334,16.746,479420.80055633147,3157792.6883342033,479420.653895106,3157776.004409428
935,400,333,111.44,479420.80055633147,3157792.6883342033,479309.19613876543,3157793.3610648275
936,401,334,530.322,479765.23673380277,3157494.1779051223,479420.653895106,3157776.004409428
937,402,512,78.333,479501.58561725065,3157777.790337162,479576.4083961657,3157793.67927721
938,402,607,316.686,479501.58561725065,3157777.790337162,479818.73654953024,3157778.0933704777
939,403,613,24.462,479712.13262794324,3159746.968654489,479732.23952743696,3159734.4816305065
940,403,612,105.68,479712.13262794324,3159746.968654489,479722.1231053332,3159642.148752842
941,404,405,19.713,479728.8698401822,3159386.5339881657,479748.4458422116,3159389.0814391654
942,404,257,196.764,479728.8698401822,3159386.5339881657,479732.40418015915,3159190.527158422
943,405,404,19.713,479748.4458422116,3159389.0814391654,479728.8698401822,3159386.5339881657
944,405,519,260.588,479748.4458422116,3159389.0814391654,479739.95458867494,3159648.5434449837
945,406,407,351.559,476059.5597687936,3159225.658720937,476411.4634207472,3159235.469896642
946,406,179,66.523,476059.5597687936,3159225.658720937,475992.9602498278,3159225.5733571392
947,406,371,174.377,476059.5597687936,3159225.658720937,476060.5254421273,3159051.934467962
948,406,139,92.77,476059.5597687936,3159225.658720937,476059.47467140766,3159318.0870081717
949,407,406,351.559,476411.4634207472,3159235.469896642,476059.5597687936,3159225.658720937
950,408,264,51.332,477679.2155750206,3159389.4823760823,477730.6070373638,3159390.791596538
951,408,242,317.541,477679.2155750206,3159389.4823760823,477595.128765497,3159153.9807373965
952,408,317,91.099,477679.2155750206,3159389.4823760823,477588.0505512286,3159385.922874687
953,409,352,40.875,479582.73678344,3160887.293942434,479582.7049258156,3160846.5693640034
954,410,352,88.737,479671.5735090569,3160846.8690378508,479582.7049258156,3160846.5693640034
955,410,484,106.298,479671.5735090569,3160846.8690378508,479672.5339821167,3160740.9678295064
956,411,48,311.087,477849.4375847,3158097.5836000456,477945.4486435735,3158311.217529862
957,412,74,224.471,477958.03547889955,3159158.0232633227,477952.0689181106,3159381.5876793996
958,413,202,96.043,477659.991019385,3160587.372900315,477563.8064865703,3160587.911209149
959,414,319,111.066,474786.03971158614,3159787.7284846646,474897.1734142413,3159790.6805367065
960,415,96,178.609,476491.2158316325,3160633.5640232633,476571.47340960935,3160747.9221166065
961,416,466,155.159,476739.07103995624,3160630.310754545,476654.8264246198,3160713.4565676567
962,416,96,257.63,476739.07103995624,3160630.310754545,476571.47340960935,3160747.9221166065
963,416,247,214.758,476739.07103995624,3160630.310754545,476817.01965222805,3160789.8976865183
964,417,247,44.14,476772.83215384017,3160788.622550487,476817.01965222805,3160789.8976865183
965,418,368,14.696,478097.0822708286,3159471.2732963003,478111.76522377937,3159472.2872476694
966,418,375,985.208,478097.0822708286,3159471.2732963003,478086.11727092095,3158492.4084465518
967,419,582,382.56,478110.6206354293,3159828.2751959153,478109.2883773152,3160209.356511128
968,420,421,105.829,477540.46886951156,3158437.583128866,477434.4910993804,3158436.2245314126
969,420,422,61.587,477540.46886951156,3158437.583128866,477545.92541810876,3158498.0169663313
970,420,270,290.666,477540.46886951156,3158437.583128866,477620.2934489991,3158625.0891948356
971,421,420,105.829,477434.4910993804,3158436.2245314126,477540.46886951156,3158437.583128866
972,421,444,86.879,477434.4910993804,3158436.2245314126,477433.6300233662,3158349.6698814784
973,421,271,92.475,477434.4910993804,3158436.2245314126,477442.13035970455,3158527.6074535595
974,422,420,61.587,477545.92541810876,3158498.0169663313,477540.46886951156,3158437.583128866
975,423,192,110.651,476565.43338161515,3158166.8603660706,476676.2451596316,3158167.7694537053
976,424,192,66.054,476741.2069389577,3158162.7548109805,476676.2451596316,3158167.7694537053
