source,target,length,source_x,source_y
1038,1131,29.058,899950,-5.34145e+06
1038,1133,29.058,899950,-5.34145e+06
441,439,29.058,891983,-5.34394e+06
441,298,29.058,891983,-5.34394e+06
441,676,29.058,891983,-5.34394e+06
50,278,29.058,913580,-5.33886e+06
50,520,29.058,913580,-5.33886e+06
50,987,29.058,913580,-5.33886e+06
51,52,29.058,944290,-5.32904e+06
51,489,29.058,944290,-5.32904e+06
51,338,29.058,944290,-5.32904e+06
435,84,29.058,882180,-5.34961e+06
435,266,29.058,882180,-5.34961e+06
435,572,29.058,882180,-5.34961e+06
52,51,29.058,943746,-5.3292e+06
52,494,29.058,943746,-5.3292e+06
52,488,29.058,943746,-5.3292e+06
53,455,29.058,888556,-5.3475e+06
53,699,29.058,888556,-5.3475e+06
53,610,29.058,888556,-5.3475e+06
932,931,29.058,887782,-5.3477e+06
445,576,29.058,875050,-5.35097e+06
445,238,29.058,875050,-5.35097e+06
445,1273,29.058,875050,-5.35097e+06
54,55,29.058,926928,-5.33459e+06
55,54,29.058,926674,-5.33468e+06
55,513,29.058,926674,-5.33468e+06
55,81,29.058,926674,-5.33468e+06
1044,1020,29.058,881077,-5.34625e+06
1044,1080,29.058,881077,-5.34625e+06
1044,1043,29.058,881077,-5.34625e+06
391,390,29.058,908915,-5.33948e+06
391,389,29.058,908915,-5.33948e+06
391,730,29.058,908915,-5.33948e+06
56,1088,29.058,900896,-5.34209e+06
57,149,29.058,900109,-5.34255e+06
936,937,29.058,885876,-5.34825e+06
1046,1052,29.058,882143,-5.3464e+06
1046,767,29.058,882143,-5.3464e+06
1046,1085,29.058,882143,-5.3464e+06
385,383,29.058,903886,-5.34108e+06
385,479,29.058,903886,-5.34108e+06
385,1198,29.058,903886,-5.34108e+06
58,116,29.058,887649,-5.34788e+06
58,786,29.058,887649,-5.34788e+06
58,604,29.058,887649,-5.34788e+06
59,60,29.058,917698,-5.33758e+06
59,64,29.058,917698,-5.33758e+06
59,31,29.058,917698,-5.33758e+06
443,442,29.058,889634,-5.34702e+06
60,540,29.058,917878,-5.33761e+06
60,59,29.058,917878,-5.33761e+06
60,620,29.058,917878,-5.33761e+06
61,62,29.058,917628,-5.33752e+06
61,73,29.058,917628,-5.33752e+06
61,620,29.058,917628,-5.33752e+06
940,883,29.058,893892,-5.34486e+06
389,388,29.058,908530,-5.3396e+06
389,532,29.058,908530,-5.3396e+06
389,391,29.058,908530,-5.3396e+06
62,61,29.058,916712,-5.33784e+06
62,526,29.058,916712,-5.33784e+06
62,625,29.058,916712,-5.33784e+06
63,614,29.058,895257,-5.34432e+06
63,965,29.058,895257,-5.34432e+06
63,137,29.058,895257,-5.34432e+06
1116,40,29.058,900030,-5.34255e+06
1116,147,29.058,900030,-5.34255e+06
1116,1151,29.058,900030,-5.34255e+06
463,1119,29.058,897596,-5.34414e+06
463,310,29.058,897596,-5.34414e+06
463,306,29.058,897596,-5.34414e+06
64,65,29.058,918371,-5.33731e+06
64,59,29.058,918371,-5.33731e+06
64,622,29.058,918371,-5.33731e+06
65,64,29.058,917687,-5.33748e+06
65,66,29.058,917687,-5.33748e+06
65,31,29.058,917687,-5.33748e+06
1008,629,29.058,909477,-5.3402e+06
1118,472,29.058,897632,-5.34414e+06
1118,464,29.058,897632,-5.34414e+06
1118,1197,29.058,897632,-5.34414e+06
457,456,29.058,891587,-5.3466e+06
66,65,29.058,917407,-5.33752e+06
66,507,29.058,917407,-5.33752e+06
66,744,29.058,917407,-5.33752e+06
67,68,29.058,886186,-5.34818e+06
451,452,29.058,875197,-5.35094e+06
451,916,29.058,875197,-5.35094e+06
451,1327,29.058,875197,-5.35094e+06
68,67,29.058,886543,-5.3481e+06
68,631,29.058,886543,-5.3481e+06
68,938,29.058,886543,-5.3481e+06
69,70,29.058,900568,-5.34318e+06
69,336,29.058,900568,-5.34318e+06
69,969,29.058,900568,-5.34318e+06
1012,1285,29.058,900164,-5.3414e+06
1012,20,29.058,900164,-5.3414e+06
1012,1105,29.058,900164,-5.3414e+06
461,6,29.058,892583,-5.34577e+06
461,708,29.058,892583,-5.34577e+06
461,1203,29.058,892583,-5.34577e+06
70,69,29.058,900183,-5.34326e+06
70,71,29.058,900183,-5.34326e+06
70,189,29.058,900183,-5.34326e+06
71,70,29.058,900035,-5.34329e+06
71,189,29.058,900035,-5.34329e+06
71,49,29.058,900035,-5.34329e+06
1188,744,29.058,915358,-5.33768e+06
1188,822,29.058,915358,-5.33768e+06
1188,112,29.058,915358,-5.33768e+06
471,653,29.058,894087,-5.34525e+06
471,601,29.058,894087,-5.34525e+06
471,8,29.058,894087,-5.34525e+06
72,507,29.058,917809,-5.33757e+06
72,73,29.058,917809,-5.33757e+06
72,526,29.058,917809,-5.33757e+06
73,72,29.058,918063,-5.33743e+06
73,61,29.058,918063,-5.33743e+06
73,603,29.058,918063,-5.33743e+06
1016,1017,29.058,898790,-5.34177e+06
1190,1054,29.058,900682,-5.34146e+06
1190,1287,29.058,900682,-5.34146e+06
1190,1056,29.058,900682,-5.34146e+06
465,30,29.058,900638,-5.34316e+06
465,335,29.058,900638,-5.34316e+06
465,967,29.058,900638,-5.34316e+06
