Time,VehicleID,EdgeID,LaneIndex,Speed_mps,Accel_mps2,Pos_m,RouteIndex,WaitTime_s,OriginID,DestID
48.5998,76,826,0,17.2413,-0.751836,37.5333,8,0,152,422
48.5998,77,1185,0,19.6292,-0.0397126,187.889,6,0,285,520
48.5998,78,48,0,18.277,0.465992,2.09367,8,0,455,479
48.5998,79,856,1,20.0847,0.00215467,494.602,3,0,355,146
48.5998,80,24,0,15.6266,-0.00039745,199.675,3,0,201,83
48.5998,81,461,3,15.4763,-0.00907225,196.876,4,0,180,339
48.5998,82,945,2,15.6358,0.00357359,121.868,5,0,516,555
48.5998,83,967,0,15.8425,-0.174451,70.8628,4,0,369,401
48.5998,87,1003,0,15.5887,-0.0191817,80.7301,7,0,498,124
48.5998,88,620,1,7.32474,-1.45484,150.812,4,0,687,255
48.5998,89,330,1,14.8175,0.198196,215.739,5,0,362,616
48.5998,90,335,2,15.3742,0.104792,40.9799,6,0,227,346
48.5998,91,567,0,15.0436,0.0102156,3.78931,3,0,301,20
48.5998,92,773,0,15.6452,-4.83655e-06,351.816,4,0,458,157
48.5998,93,102,1,15.631,-0.000627856,248.274,7,0,619,465
48.5998,94,574,1,15.5891,-0.00388247,186.633,5,0,115,244
48.5998,95,383,0,15.6393,-8.10378e-05,627.342,2,0,397,655
48.5998,96,1098,0,15.6414,-0.000322458,388.791,1,0,453,514
48.5998,97,728,0,17.2163,0.706477,32.5661,5,0,443,185
48.5998,98,1393,2,20.1039,-3.91166e-05,76.2295,8,0,649,250
48.5998,99,703,1,20.1091,0.000463226,301.83,4,0,300,139
48.5998,100,698,0,19.4181,0.165586,193.366,7,0,535,450
48.5998,102,330,1,13.8597,0.134889,177.405,6,0,223,299
48.5998,103,599,0,19.3262,0.225558,121.98,3,0,16,225
48.5998,104,1128,0,15.6259,-3.62936e-06,145.051,6,0,564,571
48.5998,105,383,0,15.5302,-9.1603e-05,357.468,4,0,251,113
48.5998,106,713,0,15.6351,-0.000168155,88.1574,7,0,547,147
48.5998,107,1150,2,18.6209,0.157748,69.7466,4,0,558,499
48.5998,108,943,0,14.9872,-0.0614754,94.1434,6,0,499,339
48.5998,109,711,0,20.0312,0.0254247,9.85953,8,0,673,575
48.5998,110,1052,1,15.5732,-0.0152458,237.822,6,0,112,395
48.5998,111,748,1,15.6316,0.000546231,295.056,3,0,185,215
48.5998,112,22,0,15.6228,-0.000521868,37.7171,5,0,82,94
48.5998,118,858,1,20.0818,0.00959222,301.016,2,0,175,98
48.5998,119,967,0,15.6441,-6.94482e-05,436.269,2,0,367,3
48.5998,120,647,2,19.1235,0.0209294,118.238,4,0,337,68
48.5998,121,408,0,19.9539,-0.00692471,192.906,4,0,584,404
48.5998,122,207,0,15.6442,-4.47952e-06,291.264,4,0,75,112
48.5998,123,92,0,19.2813,0.202626,125.564,2,0,41,239
48.5998,124,360,0,15.6371,-0.000122267,81.82,5,0,259,675
48.5998,125,330,1,13.2029,-0.139404,110.789,6,0,303,566
48.5998,126,1292,0,19.8952,-0.00650493,72.273,5,0,567,502
48.5998,127,135,2,19.9738,0.0122606,45.4616,6,0,260,85
48.5998,128,796,1,15.6439,-1.4276e-05,63.4257,4,0,390,640
48.5998,130,1088,0,26.8833,0.395694,278.882,4,0,432,495
48.5998,131,715,0,19.3156,-0.289553,294.641,4,0,100,63
48.5998,132,680,0,15.6431,-0.00183445,163.404,3,0,90,428
48.5998,133,623,0,15.441,-0.0395923,17.5612,8,0,268,434
48.5998,134,91,1,15.6468,-0.0279502,170.045,6,0,407,488
48.5998,135,1402,1,2.58414,-1.18155,247.874,8,0,23,623
48.5998,136,435,0,19.4298,-0.152953,76.393,6,0,387,65
48.5998,137,274,3,20.0525,0.0125762,70.7891,12,0,628,598
48.5998,138,856,1,19.9351,-9.06698e-05,175.846,6,0,671,77
48.5998,139,703,0,20.0817,-0.000752554,13.1981,6,0,474,619
48.5998,140,37,2,15.6396,0.00138272,98.3079,5,0,229,466
48.5998,141,967,0,15.638,-0.0133751,184.955,3,0,585,173
48.5998,142,474,1,15.642,-5.98082e-05,162.948,5,0,304,90
48.5998,143,382,1,14.5465,0.313556,80.2637,5,0,396,148
48.5998,148,736,0,15.1689,0.0904079,292.245,4,0,443,209
48.5998,149,370,1,15.623,0.00215104,294.168,3,0,545,132
48.5998,150,856,0,20.0087,-0.0129735,503.848,4,0,450,678
48.5998,151,1100,2,20.0269,-0.00286897,4.70404,9,0,409,21
48.5998,152,330,0,15.5708,0.025594,3.05387,8,0,221,657
48.5998,153,875,1,15.6175,-0.00204328,284.367,2,0,419,121
48.5998,154,335,0,15.6425,-1.26142e-05,131.748,5,0,363,27
48.5998,155,1185,0,19.355,-0.368134,135.588,6,0,285,558
48.5998,156,313,1,15.6285,-0.000345788,47.7791,6,0,79,325
48.5998,157,1277,1,19.5525,0.157122,72.9156,5,0,330,374
48.5998,158,593,0,15.4493,0.000594305,419.101,3,0,144,467
48.5998,159,1052,1,15.3815,0.00678685,58.8215,5,0,427,273
48.5998,160,322,0,15.6275,0.00560482,34.5881,5,0,164,375
48.5998,161,1396,0,20.1008,-0.000204282,162.453,6,0,647,479
48.5998,162,1302,2,15.5929,0.0206014,5.40015,6,0,378,20
48.5998,163,529,2,20.0981,-0.000150771,244.679,7,0,76,226
48.5998,164,383,0,15.4542,0.000592696,511.973,3,0,211,222
48.5998,165,1052,1,15.2924,-0.0547574,166.074,6,0,225,64
48.5998,166,869,0,20.0938,0.00193171,82.1574,6,0,182,416
48.5998,167,294,1,20.0985,7.5618e-05,104.456,4,0,360,219
48.5998,168,1238,0,15.646,-4.29153e-06,38.4987,3,0,572,120
48.5998,169,1003,0,15.6005,-0.000331084,239.751,8,0,346,300
48.5998,170,860,0,11.7839,-0.776284,8.93708,6,0,345,445
48.5998,171,157,0,15.6034,-8.05431e-05,260.007,5,0,398,465
48.5998,172,1030,0,27.549,0.27725,333.489,5,0,505,190
48.5998,173,11,0,28.0414,0.199752,149.329,8,0,626,339
48.5998,179,620,0,14.5691,0.0530957,114.287,7,0,421,435
48.5998,180,949,3,20.0953,1.95138e-05,67.7836,6,0,181,539
48.5998,181,1099,0,28.961,-0.00258351,200.112,2,0,506,618
48.5998,182,1400,0,16.7117,0.79862,19.9692,3,0,328,552
48.5998,183,293,0,20.0933,-0.000410936,64.7202,6,0,282,63
48.5998,184,744,0,20.1069,0.000615347,17.651,6,0,132,358
48.5998,185,1280,2,19.9805,0.0392698,23.295,5,0,529,144
48.5998,186,943,1,15.4605,0.067271,47.1966,8,0,501,58
48.5998,187,279,0,20.1079,-8.69127e-05,45.2171,10,0,9,87
48.5998,188,207,0,15.1965,-0.000105098,148.016,6,0,408,377
48.5998,189,922,0,13.5965,-0.358331,91.2015,5,0,64,396
48.5998,190,125,1,15.3384,-0.0822259,8.45346,10,0,281,124
48.5998,191,1296,0,15.2119,0.165499,124.727,3,0,110,194
48.5998,192,294,0,19.4504,0.19015,49.3206,4,0,349,37
48.5998,193,246,1,15.6435,-1.69787e-05,215.017,3,0,99,685
48.5998,195,87,1,15.632,0.00186577,396.821,2,0,125,462
48.5998,196,241,0,15.2855,0.138289,331.584,2,0,98,175
48.5998,197,631,2,15.6385,0.00206241,166.654,5,0,603,460
48.5998,198,800,0,14.8718,0.00324889,270.641,7,0,618,166
48.5998,199,316,0,15.621,0.00633286,4.32826,3,0,242,203
48.5998,200,1165,0,20.0457,0.0124725,12.0031,6,0,50,166
48.5998,201,593,0,15.3617,0.000524808,321.899,4,0,324,605
48.5998,202,1185,2,19.5288,0.170718,84.24,7,0,310,566
48.5998,203,792,1,15.5099,-0.0162521,682.819,2,0,578,316
48.5998,204,1400,2,19.9784,-0.00528217,162.666,8,0,403,650
48.5998,205,631,2,15.4707,-0.0468779,72.6349,4,0,22,422
48.5998,208,1150,0,17.0537,0.702301,2.40449,4,0,558,614
48.5998,209,33,2,15.1628,0.126225,235.856,5,0,231,99
48.5998,210,30,0,15.6354,0.00280032,164.818,5,0,466,357
48.5998,211,330,1,13.3419,0.0440716,143.174,6,0,223,439
48.5998,212,868,3,18.8118,0.358355,88.086,4,0,70,433
48.5998,213,1137,0,15.6372,-0.000120631,26.5991,6,0,518,589
48.5998,214,1255,0,19.3219,-0.0016804,299.825,4,0,86,508
48.5998,215,801,0,18.407,0.444773,70.6849,5,0,389,495
48.5998,216,1011,2,19.5438,0.167455,144.587,3,0,318,381
48.5998,217,207,0,15.0269,0.0109493,229.818,3,0,412,309
48.5998,218,335,1,15.4957,0.0586486,83.8465,5,0,363,670
48.5998,219,847,1,15.435,-0.0332135,80.3592,7,0,37,649
48.5998,220,89,0,15.6249,-0.000637104,174.179,4,0,326,178
